trade_name,active_ingredient,strength,form,manufacturer,typical_pack_size,avg_price_egp,therapeutic_group,legal_notes,categories_ar,aliases,is_brand,country,currency,source
Tiliae flos,,,,,,,,,,Tiliae flos|tiliae flos,false,,EGP,wikidata
Tamaryokucha,,,,,,,,,,Tamaryokucha|tamaryokucha,false,,EGP,wikidata
Aracha,,,,,,,,,,Aracha|aracha,false,,EGP,wikidata
Biluochun,,,,,,,,,,Biluochun|biluochun,false,,EGP,wikidata
fentanyl/fluanisone,,,,,,,,,,fentanyl/fluanisone,false,,EGP,wikidata
fentanyl/fluanisone,,,,,,,,,,fentanyl/fluanisone,false,,EGP,wikidata
Glover's Medicated Salt Cake,,,,,,,,,,Glover's Medicated Salt Cake|glover's medicated salt cake,false,,EGP,wikidata
Lu'an Melon Seed tea,,,,,,,,,,Lu'an Melon Seed tea|lu'an melon seed tea,false,,EGP,wikidata
ProSavin,,,,,,,,,,ProSavin|prosavin,false,,EGP,wikidata
Rượu thuốc,,,,,,,,,,Rượu thuốc|rượu thuốc,false,,EGP,wikidata
trimethoprim/sulfadoxine,,,,,,,,,,trimethoprim/sulfadoxine,false,,EGP,wikidata
Yunnan Baiyao,,,,,,,,,,Yunnan Baiyao|yunnan baiyao,false,,EGP,wikidata
Anervan,,,,,,,,,,Anervan|anervan,false,,EGP,wikidata
Yun Wu,,,,,,,,,,Yun Wu|yun wu,false,,EGP,wikidata
Maojian tea,,,,,,,,,,Maojian tea|maojian tea,false,,EGP,wikidata
Lushan Yunwu,,,,,,,,,,Lushan Yunwu|lushan yunwu,false,,EGP,wikidata
formosulfathiazole,,,,,,,,,,formosulfathiazole,false,,EGP,wikidata
imidacloprid/permethrin/pyriproxyfen,,,,,,,,,,imidacloprid/permethrin/pyriproxyfen,false,,EGP,wikidata
GSK2831781,,,,,,,,,,GSK2831781|gsk2831781,false,,EGP,wikidata
Tolak Angin,,,,,,,,,,Tolak Angin|tolak angin,false,,EGP,wikidata
Spongia somnifera,,,,,,,,,,Spongia somnifera|spongia somnifera,false,,EGP,wikidata
etilagimod alpha,,,,,,,,,,etilagimod alpha,false,,EGP,wikidata
Equilytes,,,,,,,,,,Equilytes|equilytes,false,,EGP,wikidata
ginseng root,,,,,,,,,,ginseng root,false,,EGP,wikidata
liquorice root,,,,,,,,,,liquorice root,false,,EGP,wikidata
peony root,,,,,,,,,,peony root,false,,EGP,wikidata
ginger rhizome,,,,,,,,,,ginger rhizome,false,,EGP,wikidata
Cimicifugae Rhizoma,,,,,,,,,,Cimicifugae Rhizoma|cimicifugae rhizoma,false,,EGP,wikidata
fennel fruit,,,,,,,,,,fennel fruit,false,,EGP,wikidata
Quercus Cortex,,,,,,,,,,Quercus Cortex|quercus cortex,false,,EGP,wikidata
Viagra,,,,,,,,,,Viagra|viagra,false,,EGP,wikidata
anise seed,,,,,,,,,,anise seed,false,,EGP,wikidata
selatogrel,,,,,,,,,,selatogrel,false,,EGP,wikidata
greater celandine (herb),,,,,,,,,,greater celandine (herb),false,,EGP,wikidata
chicory root,,,,,,,,,,chicory root,false,,EGP,wikidata
javanese turmeric,,,,,,,,,,javanese turmeric,false,,EGP,wikidata
purple coneflower herb,,,,,,,,,,purple coneflower herb,false,,EGP,wikidata
Eleutherococcus root,,,,,,,,,,Eleutherococcus root|eleutherococcus root,false,,EGP,wikidata
willow herb,,,,,,,,,,willow herb,false,,EGP,wikidata
horsetail herb,,,,,,,,,,horsetail herb,false,,EGP,wikidata
California poppy,,,,,,,,,,California poppy|california poppy,false,,EGP,wikidata
eyebright (herb),,,,,,,,,,eyebright (herb),false,,EGP,wikidata
fumitory (herb),,,,,,,,,,fumitory (herb),false,,EGP,wikidata
ginkgo leaf,,,,,,,,,,ginkgo leaf,false,,EGP,wikidata
gumweed herb,,,,,,,,,,gumweed herb,false,,EGP,wikidata
hamamelis leaf,,,,,,,,,,hamamelis leaf,false,,EGP,wikidata
horse-chestnut bark,,,,,,,,,,horse-chestnut bark,false,,EGP,wikidata
walnut leaf,,,,,,,,,,walnut leaf,false,,EGP,wikidata
lavender flower,,,,,,,,,,lavender flower,false,,EGP,wikidata
lovage root,,,,,,,,,,lovage root,false,,EGP,wikidata
matricaria flower,,,,,,,,,,matricaria flower,false,,EGP,wikidata
melissa leaf,,,,,,,,,,melissa leaf,false,,EGP,wikidata
peppermint leaf,,,,,,,,,,peppermint leaf,false,,EGP,wikidata
Quercus Cortex,,,,,,,,,,Quercus Cortex|quercus cortex,false,,EGP,wikidata
anise seed,,,,,,,,,,anise seed,false,,EGP,wikidata
collagenase clostridium histolyticum,,,,,,,,,,collagenase clostridium histolyticum|D03BA02,false,,EGP,wikidata
collagenase clostridium histolyticum,,,,,,,,,,collagenase clostridium histolyticum|M09AB02,false,,EGP,wikidata
jujube,,,,,,,,,,jujube,false,,EGP,wikidata
Wolfiporia extensa,,,,,,,,,,Wolfiporia extensa|wolfiporia extensa,false,,EGP,wikidata
Jesuit's bark,,,,,,,,,,Jesuit's bark|jesuit's bark,false,,EGP,wikidata
aloe,,,,,,,,,,aloe,false,,EGP,wikidata
Olbas Oil,,,,,,,,,,Olbas Oil|olbas oil,false,,EGP,wikidata
Estrogen ester,,,,,,,,,,Estrogen ester|estrogen ester,false,,EGP,wikidata
Phytoandrogens,,,,,,,,,,Phytoandrogens|phytoandrogens,false,,EGP,wikidata
Nicotinell,,,,,,,,,,Nicotinell|nicotinell,false,,EGP,wikidata
Chinese thorowax root,,,,,,,,,,Chinese thorowax root|chinese thorowax root,false,,EGP,wikidata
Yamecha,,,,,,,,,,Yamecha|yamecha,false,,EGP,wikidata
Zezecha,,,,,,,,,,Zezecha|zezecha,false,,EGP,wikidata
Anji bai cha,,,,,,,,,,Anji bai cha|anji bai cha,false,,EGP,wikidata
gambier,,,,,,,,,,gambier,false,,EGP,wikidata
nisterime,,,,,,,,,,nisterime,false,,EGP,wikidata
Houttuyniae Herba,,,,,,,,,,Houttuyniae Herba|houttuyniae herba,false,,EGP,wikidata
Chinese motherwort herb,,,,,,,,,,Chinese motherwort herb|chinese motherwort herb,false,,EGP,wikidata
Lilii Bulbus,,,,,,,,,,Lilii Bulbus|lilii bulbus,false,,EGP,wikidata
Lithospermi Radix,,,,,,,,,,Lithospermi Radix|lithospermi radix,false,,EGP,wikidata
Linderae Radix,,,,,,,,,,Linderae Radix|linderae radix,false,,EGP,wikidata
Longan Arillus,,,,,,,,,,Longan Arillus|longan arillus,false,,EGP,wikidata
Lonicerae Folium Cum Caulis,,,,,,,,,,Lonicerae Folium Cum Caulis|lonicerae folium cum caulis,false,,EGP,wikidata
Lycii Cortex,,,,,,,,,,Lycii Cortex|lycii cortex,false,,EGP,wikidata
Lycii Fructus,,,,,,,,,,Lycii Fructus|lycii fructus,false,,EGP,wikidata
Magnoliae Flos,,,,,,,,,,Magnoliae Flos|magnoliae flos,false,,EGP,wikidata
linseed cake,,,,,,,,,,linseed cake,false,,EGP,wikidata
Mori Cortex,,,,,,,,,,Mori Cortex|mori cortex,false,,EGP,wikidata
Nelumbis Semen,,,,,,,,,,Nelumbis Semen|nelumbis semen,false,,EGP,wikidata
Notopterygii Rhizoma,,,,,,,,,,Notopterygii Rhizoma|notopterygii rhizoma,false,,EGP,wikidata
Nupharis Rhizoma,,,,,,,,,,Nupharis Rhizoma|nupharis rhizoma,false,,EGP,wikidata
Japonica rice,,,,,,,,,,Japonica rice|japonica rice,false,,EGP,wikidata
Panacis Japonici Rhizoma,,,,,,,,,,Panacis Japonici Rhizoma|panacis japonici rhizoma,false,,EGP,wikidata
Peucedani Radix,,,,,,,,,,Peucedani Radix|peucedani radix,false,,EGP,wikidata
Polygalae Radix,,,,,,,,,,Polygalae Radix|polygalae radix,false,,EGP,wikidata
Polygoni Multiflori Radix,,,,,,,,,,Polygoni Multiflori Radix|polygoni multiflori radix,false,,EGP,wikidata
Testosterone hexyloxyphenylpropionate,,,,,,,,,,Testosterone hexyloxyphenylpropionate|testosterone hexyloxyphenylpropionate,false,,EGP,wikidata
Omnadren,,,,,,,,,,Omnadren|omnadren,false,,EGP,wikidata
Nandrolone caproate,,,,,,,,,,Nandrolone caproate|nandrolone caproate,false,,EGP,wikidata
Nandrolone cyclohexanecarboxylate,,,,,,,,,,Nandrolone cyclohexanecarboxylate|nandrolone cyclohexanecarboxylate,false,,EGP,wikidata
Nandrolone sulfate sodium,,,,,,,,,,Nandrolone sulfate sodium|nandrolone sulfate sodium,false,,EGP,wikidata
Methylepitiostanol,,,,,,,,,,Methylepitiostanol|methylepitiostanol,false,,EGP,wikidata
17α-alkylated anabolic steroid,,,,,,,,,,17α-alkylated anabolic steroid,false,,EGP,wikidata
bolazine capronate,,,,,,,,,,bolazine capronate,false,,EGP,wikidata
Deposterona,,,,,,,,,,Deposterona|deposterona,false,,EGP,wikidata
Gypsum deformed cristal-MCG 7747,,,,,,,,,,Gypsum deformed cristal-MCG 7747|gypsum deformed cristal-mcg 7747,false,,EGP,wikidata
Gypsum-MGL 2367,,,,,,,,,,Gypsum-MGL 2367|gypsum-mgl 2367,false,,EGP,wikidata
sejak,,,,,,,,,,sejak,false,,EGP,wikidata
ujeon,,,,,,,,,,ujeon,false,,EGP,wikidata
Propylex,,,,,,,,,,Propylex|propylex,false,,EGP,wikidata
Tuvunu,,,,,,,,,,Tuvunu|tuvunu,false,,EGP,wikidata
Zhuyeqing Tea,,,,,,,,,,Zhuyeqing Tea|zhuyeqing tea,false,,EGP,wikidata
coitus Saxonicus,,,,,,,,,,coitus Saxonicus|coitus saxonicus,false,,EGP,wikidata
Saposhnikoviae Radix,,,,,,,,,,Saposhnikoviae Radix|saposhnikoviae radix,false,,EGP,wikidata
Sappan Lignum,,,,,,,,,,Sappan Lignum|sappan lignum,false,,EGP,wikidata
Saussureae Radix,,,,,,,,,,Saussureae Radix|saussureae radix,false,,EGP,wikidata
Schizonepetae Spica,,,,,,,,,,Schizonepetae Spica|schizonepetae spica,false,,EGP,wikidata
Sesami Semen,,,,,,,,,,Sesami Semen|sesami semen,false,,EGP,wikidata
Sophorae Radix,,,,,,,,,,Sophorae Radix|sophorae radix,false,,EGP,wikidata
Swertiae Herba,,,,,,,,,,Swertiae Herba|swertiae herba,false,,EGP,wikidata
Tribuli Fructus,,,,,,,,,,Tribuli Fructus|tribuli fructus,false,,EGP,wikidata
Trichosanthis Radix,,,,,,,,,,Trichosanthis Radix|trichosanthis radix,false,,EGP,wikidata
Trichosanthis Semen,,,,,,,,,,Trichosanthis Semen|trichosanthis semen,false,,EGP,wikidata
Tritici Semen,,,,,,,,,,Tritici Semen|tritici semen,false,,EGP,wikidata
Zizyphi Spinosi Semen,,,,,,,,,,Zizyphi Spinosi Semen|zizyphi spinosi semen,false,,EGP,wikidata
Setariae Semen,,,,,,,,,,Setariae Semen|setariae semen,false,,EGP,wikidata
birch seed,,,,,,,,,,birch seed,false,,EGP,wikidata
turmeric rhizome,,,,,,,,,,turmeric rhizome,false,,EGP,wikidata
human growth hormone,,,,,,,,,,human growth hormone,false,,EGP,wikidata
gamma-lipotropin,,,,,,,,,,gamma-lipotropin,false,,EGP,wikidata
Absinthii herba,,,,,,,,,,Absinthii herba|absinthii herba,false,,EGP,wikidata
Dandelion Root with Herb,,,,,,,,,,Dandelion Root with Herb|dandelion root with herb,false,,EGP,wikidata
Burdock Root,,,,,,,,,,Burdock Root|burdock root,false,,EGP,wikidata
Senna leaf,,,,,,,,,,Senna leaf|senna leaf,false,,EGP,wikidata
senna pods,,,,,,,,,,senna pods,false,,EGP,wikidata
Agnus Castus Fruit,,,,,,,,,,Agnus Castus Fruit|agnus castus fruit,false,,EGP,wikidata
dandelion leaf,,,,,,,,,,dandelion leaf,false,,EGP,wikidata
Couch grass rhizome,,,,,,,,,,Couch grass rhizome|couch grass rhizome,false,,EGP,wikidata
Roman Chamomile Flower,,,,,,,,,,Roman Chamomile Flower|roman chamomile flower,false,,EGP,wikidata
cola,,,,,,,,,,cola,false,,EGP,wikidata
Millefolii herba,,,,,,,,,,Millefolii herba|millefolii herba,false,,EGP,wikidata
pelargonium root,,,,,,,,,,pelargonium root,false,,EGP,wikidata
Herniariae herba,,,,,,,,,,Herniariae herba|herniariae herba,false,,EGP,wikidata
Frangula bark,,,,,,,,,,Frangula bark|frangula bark,false,,EGP,wikidata
Rhei radix,,,,,,,,,,Rhei radix|rhei radix,false,,EGP,wikidata
Tanaceti parthenii herba,,,,,,,,,,Tanaceti parthenii herba|tanaceti parthenii herba,false,,EGP,wikidata
oat grain,,,,,,,,,,oat grain,false,,EGP,wikidata
oat herb,,,,,,,,,,oat herb,false,,EGP,wikidata
dittany of Crete (herb),,,,,,,,,,dittany of Crete (herb)|dittany of crete (herb),false,,EGP,wikidata
guarana seed,,,,,,,,,,guarana seed,false,,EGP,wikidata
katula,,,,,,,,,,katula,false,,EGP,wikidata
Mouse-ear hawkweed,,,,,,,,,,Mouse-ear hawkweed|mouse-ear hawkweed,false,,EGP,wikidata
ribwort plantain leaf,,,,,,,,,,ribwort plantain leaf,false,,EGP,wikidata
primula root,,,,,,,,,,primula root,false,,EGP,wikidata
arctic root,,,,,,,,,,arctic root,false,,EGP,wikidata
elderberry,,,,,,,,,,elderberry,false,,EGP,wikidata
hedge mustard (herb),,,,,,,,,,hedge mustard (herb),false,,EGP,wikidata
woody nightshade stem,,,,,,,,,,woody nightshade stem,false,,EGP,wikidata
european goldenrod (herb),,,,,,,,,,european goldenrod (herb),false,,EGP,wikidata
comfrey root,,,,,,,,,,comfrey root,false,,EGP,wikidata
Tiliae tomentosae flos,,,,,,,,,,Tiliae tomentosae flos|tiliae tomentosae flos,false,,EGP,wikidata
tormentil root,,,,,,,,,,tormentil root,false,,EGP,wikidata
cat's claw (bark),,,,,,,,,,cat's claw (bark),false,,EGP,wikidata
nettle leaf,,,,,,,,,,nettle leaf,false,,EGP,wikidata
nettle herb,,,,,,,,,,nettle herb,false,,EGP,wikidata
nettle root,,,,,,,,,,nettle root,false,,EGP,wikidata
wild pansy (herb),,,,,,,,,,wild pansy (herb),false,,EGP,wikidata
tozorakimab,,,,,,,,,,tozorakimab,false,,EGP,wikidata
favezelimab,,,,,,,,,,favezelimab,false,,EGP,wikidata
efinopegdutide,,,,,,,,,,efinopegdutide,false,,EGP,wikidata
clesrovimab,,,,,,,,,,clesrovimab,false,,EGP,wikidata
boserolimab,,,,,,,,,,boserolimab,false,,EGP,wikidata
rezpegaldesleukin,,,,,,,,,,rezpegaldesleukin,false,,EGP,wikidata
TNB-486,,,,,,,,,,TNB-486|tnb-486,false,,EGP,wikidata
MEDI6570,,,,,,,,,,MEDI6570|medi6570,false,,EGP,wikidata
3K3A-Activated Protein C,,,,,,,,,,3K3A-Activated Protein C|3k3a-activated protein c,false,,EGP,wikidata
Atinvicitinib,,,,,,,,,,Atinvicitinib|atinvicitinib,false,,EGP,wikidata
status releaser pheromone,,,,,,,,,,status releaser pheromone,false,,EGP,wikidata
motherwort herb,,,,,,,,,,motherwort herb,false,,EGP,wikidata
tinzaparin sodium,,,,,,,,,,tinzaparin sodium,false,,EGP,wikidata
juniper oil,,,,,,,,,,juniper oil,false,,EGP,wikidata
lantibiotic duramycin,,,,,,,,,,lantibiotic duramycin,false,,EGP,wikidata
Udder Balm,,,,,,,,,,Udder Balm|udder balm,false,,EGP,wikidata
Purol,,,,,,,,,,Purol|purol,false,,EGP,wikidata
Alka-Seltzer,,,,,,,,,,Alka-Seltzer|alka-seltzer,false,,EGP,wikidata
2012 Pakistan fake medicine crisis,,,,,,,,,,2012 Pakistan fake medicine crisis|2012 pakistan fake medicine crisis,false,,EGP,wikidata
Antimicrotubule agent,,,,,,,,,,Antimicrotubule agent|antimicrotubule agent,false,,EGP,wikidata
Apenta,,,,,,,,,,Apenta|apenta,false,,EGP,wikidata
Gaviscon,,,,,,,,,,Gaviscon|gaviscon,false,,EGP,wikidata
Menerba,,,,,,,,,,Menerba|menerba,false,,EGP,wikidata
Metanx,,,,,,,,,,Metanx|metanx,false,,EGP,wikidata
Mollipect,,,,,,,,,,Mollipect|mollipect,false,,EGP,wikidata
Naldecon,,,,,,,,,,Naldecon|naldecon,false,,EGP,wikidata
Obetrol,,,,,,,,,,Obetrol|obetrol,false,,EGP,wikidata
Panadol night,,,,,,,,,,Panadol night|panadol night,false,,EGP,wikidata
Pantopon,,,,,,,,,,Pantopon|pantopon,false,,EGP,wikidata
paracetamol/metoclopramide,,,,,,,,,,paracetamol/metoclopramide,false,,EGP,wikidata
pitrakinra,,,,,,,,,,pitrakinra,false,,EGP,wikidata
Pluto Water,,,,,,,,,,Pluto Water|pluto water,false,,EGP,wikidata
Po Chai Pills,,,,,,,,,,Po Chai Pills|po chai pills,false,,EGP,wikidata
Tums,,,,,,,,,,Tums|tums,false,,EGP,wikidata
Visine,,,,,,,,,,Visine|visine,false,,EGP,wikidata
Makiron,,,,,,,,,,Makiron|makiron,false,,EGP,wikidata
Fibraurea tinctoria,,,,,,,,,,Fibraurea tinctoria|fibraurea tinctoria,false,,EGP,wikidata
Cassiae Semen,,,,,,,,,,Cassiae Semen|cassiae semen,false,,EGP,wikidata
Chrysanthemi Flos,,,,,,,,,,Chrysanthemi Flos|chrysanthemi flos,false,,EGP,wikidata
Cimicifugae Rhizoma,,,,,,,,,,Cimicifugae Rhizoma|cimicifugae rhizoma,false,,EGP,wikidata
Clematidis Radix,,,,,,,,,,Clematidis Radix|clematidis radix,false,,EGP,wikidata
Corni Fructus,,,,,,,,,,Corni Fructus|corni fructus,false,,EGP,wikidata
Corydalis Tuber,,,,,,,,,,Corydalis Tuber|corydalis tuber,false,,EGP,wikidata
Crataegi Fructus,,,,,,,,,,Crataegi Fructus|crataegi fructus,false,,EGP,wikidata
Crotonis Semen,,,,,,,,,,Crotonis Semen|crotonis semen,false,,EGP,wikidata
Eriobotryae Folium,,,,,,,,,,Eriobotryae Folium|eriobotryae folium,false,,EGP,wikidata
Eucommiae Cortex,,,,,,,,,,Eucommiae Cortex|eucommiae cortex,false,,EGP,wikidata
Eupolyphaga,,,,,,,,,,Eupolyphaga|eupolyphaga,false,,EGP,wikidata
fennel fruit,,,,,,,,,,fennel fruit,false,,EGP,wikidata
Forsythiae Fructus,,,,,,,,,,Forsythiae Fructus|forsythiae fructus,false,,EGP,wikidata
Fritillariae Bulbus,,,,,,,,,,Fritillariae Bulbus|fritillariae bulbus,false,,EGP,wikidata
Gastrodiae Tuber,,,,,,,,,,Gastrodiae Tuber|gastrodiae tuber,false,,EGP,wikidata
Gentianae Scabrae Radix,,,,,,,,,,Gentianae Scabrae Radix|gentianae scabrae radix,false,,EGP,wikidata
Glehniae Radix Cum Rhizoma,,,,,,,,,,Glehniae Radix Cum Rhizoma|glehniae radix cum rhizoma,false,,EGP,wikidata
Hordei Fructus Germinatus,,,,,,,,,,Hordei Fructus Germinatus|hordei fructus germinatus,false,,EGP,wikidata
Methoxydienone,,,,,,,,,,Methoxydienone|methoxydienone,false,,EGP,wikidata
